[rosmaster.main][INFO] 2020-11-29 07:47:42,573: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-11-29 07:47:42,573: Starting ROS Master Node
[xmlrpc][INFO] 2020-11-29 07:47:42,574: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-11-29 07:47:42,575: Started XML-RPC server [http://192.168.0.191:11311/]
[rosmaster.master][INFO] 2020-11-29 07:47:42,575: Master initialized: port[11311], uri[http://192.168.0.191:11311/]
[xmlrpc][INFO] 2020-11-29 07:47:42,575: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-11-29 07:47:42,652: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-11-29 07:47:42,654: +PARAM [/roslaunch/uris/host_192_168_0_191__39675] by /roslaunch
[rosmaster.master][INFO] 2020-11-29 07:47:42,712: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-11-29 07:47:42,712: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-11-29 07:47:42,732: +SERVICE [/rosout/get_loggers] /rosout http://192.168.0.191:34683/
[rosmaster.master][INFO] 2020-11-29 07:47:42,733: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.0.191:34683/
[rosmaster.master][INFO] 2020-11-29 07:47:42,735: +PUB [/rosout_agg] /rosout http://192.168.0.191:34683/
[rosmaster.master][INFO] 2020-11-29 07:47:42,739: +SUB [/rosout] /rosout http://192.168.0.191:34683/
[rosmaster.master][INFO] 2020-11-29 07:47:47,541: -PUB [/rosout_agg] /rosout http://192.168.0.191:34683/
[rosmaster.master][INFO] 2020-11-29 07:47:47,541: -SUB [/rosout] /rosout http://192.168.0.191:34683/
[rosmaster.master][INFO] 2020-11-29 07:47:47,542: -SERVICE [/rosout/get_loggers] /rosout rosrpc://192.168.0.191:38085
[rosmaster.master][INFO] 2020-11-29 07:47:47,543: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://192.168.0.191:38085
[rosmaster.main][INFO] 2020-11-29 07:47:47,625: keyboard interrupt, will exit
[rosmaster.main][INFO] 2020-11-29 07:47:47,625: stopping master...
[rospy.core][INFO] 2020-11-29 07:47:47,625: signal_shutdown [atexit]
