[rosmaster.main][INFO] 2020-10-02 09:12:57,698: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-10-02 09:12:57,698: Starting ROS Master Node
[xmlrpc][INFO] 2020-10-02 09:12:57,699: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-10-02 09:12:57,700: Started XML-RPC server [http://luigi:11311/]
[rosmaster.master][INFO] 2020-10-02 09:12:57,700: Master initialized: port[11311], uri[http://luigi:11311/]
[xmlrpc][INFO] 2020-10-02 09:12:57,700: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-10-02 09:12:57,781: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-10-02 09:12:57,783: +PARAM [/roslaunch/uris/host_luigi__44989] by /roslaunch
[rosmaster.master][INFO] 2020-10-02 09:12:57,834: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-10-02 09:12:57,834: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-10-02 09:12:57,856: +SERVICE [/rosout/get_loggers] /rosout http://luigi:41157/
[rosmaster.master][INFO] 2020-10-02 09:12:57,857: +SERVICE [/rosout/set_logger_level] /rosout http://luigi:41157/
[rosmaster.master][INFO] 2020-10-02 09:12:57,859: +PUB [/rosout_agg] /rosout http://luigi:41157/
[rosmaster.master][INFO] 2020-10-02 09:12:57,863: +SUB [/rosout] /rosout http://luigi:41157/
[rosmaster.master][INFO] 2020-10-02 09:12:58,758: -PUB [/rosout_agg] /rosout http://luigi:41157/
[rosmaster.master][INFO] 2020-10-02 09:12:58,759: -SUB [/rosout] /rosout http://luigi:41157/
[rosmaster.master][INFO] 2020-10-02 09:12:58,759: -SERVICE [/rosout/get_loggers] /rosout rosrpc://luigi:56391
[rosmaster.master][INFO] 2020-10-02 09:12:58,760: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://luigi:56391
[rosmaster.main][INFO] 2020-10-02 09:12:58,844: keyboard interrupt, will exit
[rosmaster.main][INFO] 2020-10-02 09:12:58,844: stopping master...
[rospy.core][INFO] 2020-10-02 09:12:58,844: signal_shutdown [atexit]
