[rosmaster.main][INFO] 2020-11-08 08:00:45,549: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-11-08 08:00:45,549: Starting ROS Master Node
[xmlrpc][INFO] 2020-11-08 08:00:45,551: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-11-08 08:00:45,551: Started XML-RPC server [http://192.168.0.191:11311/]
[rosmaster.master][INFO] 2020-11-08 08:00:45,551: Master initialized: port[11311], uri[http://192.168.0.191:11311/]
[xmlrpc][INFO] 2020-11-08 08:00:45,551: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-11-08 08:00:45,633: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-11-08 08:00:45,635: +PARAM [/roslaunch/uris/host_192_168_0_191__45895] by /roslaunch
[rosmaster.master][INFO] 2020-11-08 08:00:45,690: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-11-08 08:00:45,690: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-11-08 08:00:45,711: +SERVICE [/rosout/get_loggers] /rosout http://192.168.0.191:37499/
[rosmaster.master][INFO] 2020-11-08 08:00:45,712: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.0.191:37499/
[rosmaster.master][INFO] 2020-11-08 08:00:45,713: +PUB [/rosout_agg] /rosout http://192.168.0.191:37499/
[rosmaster.master][INFO] 2020-11-08 08:00:45,717: +SUB [/rosout] /rosout http://192.168.0.191:37499/
[rosmaster.master][INFO] 2020-11-08 08:00:52,589: +PUB [/rosout] /train_1118_1604822452475 http://luigi:33397/
[rosmaster.master][INFO] 2020-11-08 08:00:52,593: +SERVICE [/train_1118_1604822452475/get_loggers] /train_1118_1604822452475 http://luigi:33397/
[rosmaster.master][INFO] 2020-11-08 08:00:52,595: +SERVICE [/train_1118_1604822452475/set_logger_level] /train_1118_1604822452475 http://luigi:33397/
[rosmaster.master][INFO] 2020-11-08 08:00:52,598: +SUB [/bev/flow_image] /train_1118_1604822452475 http://luigi:33397/
[rosmaster.master][INFO] 2020-11-08 08:00:52,602: +SUB [/occupancy_image] /train_1118_1604822452475 http://luigi:33397/
[rosmaster.master][INFO] 2020-11-08 08:00:52,605: -SUB [/bev/flow_image] /train_1118_1604822452475 http://luigi:33397/
[rosmaster.master][INFO] 2020-11-08 08:00:52,605: -SUB [/occupancy_image] /train_1118_1604822452475 http://luigi:33397/
[rosmaster.master][INFO] 2020-11-08 08:00:52,606: -PUB [/rosout] /train_1118_1604822452475 http://luigi:33397/
[rosmaster.master][INFO] 2020-11-08 08:00:52,606: -SERVICE [/train_1118_1604822452475/get_loggers] /train_1118_1604822452475 rosrpc://luigi:43939
[rosmaster.master][INFO] 2020-11-08 08:00:52,606: -SERVICE [/train_1118_1604822452475/set_logger_level] /train_1118_1604822452475 rosrpc://luigi:43939
[rosmaster.master][INFO] 2020-11-08 08:00:52,662: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:33397/']
[rosmaster.master][INFO] 2020-11-08 08:00:52,705: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:33397/']: sec=0.04, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:00:52,705: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []
[rosmaster.master][INFO] 2020-11-08 08:00:52,706: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:01:06,021: +PUB [/rosout] /train_1135_1604822465909 http://luigi:42335/
[rosmaster.master][INFO] 2020-11-08 08:01:06,025: +SERVICE [/train_1135_1604822465909/get_loggers] /train_1135_1604822465909 http://luigi:42335/
[rosmaster.master][INFO] 2020-11-08 08:01:06,026: +SERVICE [/train_1135_1604822465909/set_logger_level] /train_1135_1604822465909 http://luigi:42335/
[rosmaster.master][INFO] 2020-11-08 08:01:06,029: +SUB [/bev/flow_image] /train_1135_1604822465909 http://luigi:42335/
[rosmaster.master][INFO] 2020-11-08 08:01:06,029: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:42335/']
[rosmaster.master][INFO] 2020-11-08 08:01:06,031: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:42335/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:01:06,032: +SUB [/occupancy_image] /train_1135_1604822465909 http://luigi:42335/
[rosmaster.master][INFO] 2020-11-08 08:01:06,034: -SUB [/bev/flow_image] /train_1135_1604822465909 http://luigi:42335/
[rosmaster.master][INFO] 2020-11-08 08:01:06,034: -SUB [/occupancy_image] /train_1135_1604822465909 http://luigi:42335/
[rosmaster.master][INFO] 2020-11-08 08:01:06,034: -PUB [/rosout] /train_1135_1604822465909 http://luigi:42335/
[rosmaster.master][INFO] 2020-11-08 08:01:06,034: -SERVICE [/train_1135_1604822465909/get_loggers] /train_1135_1604822465909 rosrpc://luigi:34617
[rosmaster.master][INFO] 2020-11-08 08:01:06,034: -SERVICE [/train_1135_1604822465909/set_logger_level] /train_1135_1604822465909 rosrpc://luigi:34617
[rosmaster.master][INFO] 2020-11-08 08:01:06,085: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []
[rosmaster.master][INFO] 2020-11-08 08:01:06,123: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []: sec=0.04, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:02:05,380: +PUB [/rosout] /train_1153_1604822525263 http://luigi:40339/
[rosmaster.master][INFO] 2020-11-08 08:02:05,386: +SERVICE [/train_1153_1604822525263/get_loggers] /train_1153_1604822525263 http://luigi:40339/
[rosmaster.master][INFO] 2020-11-08 08:02:05,386: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:40339/']
[rosmaster.master][INFO] 2020-11-08 08:02:05,387: +SERVICE [/train_1153_1604822525263/set_logger_level] /train_1153_1604822525263 http://luigi:40339/
[rosmaster.master][INFO] 2020-11-08 08:02:05,390: +SUB [/bev/flow_image] /train_1153_1604822525263 http://luigi:40339/
[rosmaster.master][INFO] 2020-11-08 08:02:05,393: +SUB [/occupancy_image] /train_1153_1604822525263 http://luigi:40339/
[rosmaster.master][INFO] 2020-11-08 08:02:05,396: +SUB [/odom] /train_1153_1604822525263 http://luigi:40339/
[rosmaster.master][INFO] 2020-11-08 08:02:05,398: +SUB [/start_goal] /train_1153_1604822525263 http://luigi:40339/
[rosmaster.master][INFO] 2020-11-08 08:02:05,399: +PUB [/cmd_vel/train] /train_1153_1604822525263 http://luigi:40339/
[rosmaster.master][INFO] 2020-11-08 08:02:05,401: +PUB [/train/episode] /train_1153_1604822525263 http://luigi:40339/
[rosmaster.master][INFO] 2020-11-08 08:02:05,405: -SUB [/bev/flow_image] /train_1153_1604822525263 http://luigi:40339/
[rosmaster.master][INFO] 2020-11-08 08:02:05,405: -SUB [/occupancy_image] /train_1153_1604822525263 http://luigi:40339/
[rosmaster.master][INFO] 2020-11-08 08:02:05,405: -SUB [/odom] /train_1153_1604822525263 http://luigi:40339/
[rosmaster.master][INFO] 2020-11-08 08:02:05,406: -SUB [/start_goal] /train_1153_1604822525263 http://luigi:40339/
[rosmaster.master][INFO] 2020-11-08 08:02:05,406: -PUB [/rosout] /train_1153_1604822525263 http://luigi:40339/
[rosmaster.master][INFO] 2020-11-08 08:02:05,406: -PUB [/cmd_vel/train] /train_1153_1604822525263 http://luigi:40339/
[rosmaster.master][INFO] 2020-11-08 08:02:05,406: -PUB [/train/episode] /train_1153_1604822525263 http://luigi:40339/
[rosmaster.master][INFO] 2020-11-08 08:02:05,406: -SERVICE [/train_1153_1604822525263/get_loggers] /train_1153_1604822525263 rosrpc://luigi:32849
[rosmaster.master][INFO] 2020-11-08 08:02:05,406: -SERVICE [/train_1153_1604822525263/set_logger_level] /train_1153_1604822525263 rosrpc://luigi:32849
[rosmaster.master][INFO] 2020-11-08 08:02:05,424: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:40339/']: sec=0.04, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:02:05,425: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []
[rosmaster.master][INFO] 2020-11-08 08:02:05,426: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:07:35,811: +PUB [/rosout] /train_1170_1604822855699 http://luigi:40453/
[rosmaster.master][INFO] 2020-11-08 08:07:35,816: +SERVICE [/train_1170_1604822855699/get_loggers] /train_1170_1604822855699 http://luigi:40453/
[rosmaster.master][INFO] 2020-11-08 08:07:35,817: +SERVICE [/train_1170_1604822855699/set_logger_level] /train_1170_1604822855699 http://luigi:40453/
[rosmaster.master][INFO] 2020-11-08 08:07:35,820: +SUB [/bev/flow_image] /train_1170_1604822855699 http://luigi:40453/
[rosmaster.master][INFO] 2020-11-08 08:07:35,822: +SUB [/occupancy_image] /train_1170_1604822855699 http://luigi:40453/
[rosmaster.master][INFO] 2020-11-08 08:07:35,824: +SUB [/odom] /train_1170_1604822855699 http://luigi:40453/
[rosmaster.master][INFO] 2020-11-08 08:07:35,826: +SUB [/start_goal] /train_1170_1604822855699 http://luigi:40453/
[rosmaster.master][INFO] 2020-11-08 08:07:35,827: +PUB [/cmd_vel/train] /train_1170_1604822855699 http://luigi:40453/
[rosmaster.master][INFO] 2020-11-08 08:07:35,828: +PUB [/train/episode] /train_1170_1604822855699 http://luigi:40453/
[rosmaster.master][INFO] 2020-11-08 08:07:35,832: -SUB [/bev/flow_image] /train_1170_1604822855699 http://luigi:40453/
[rosmaster.master][INFO] 2020-11-08 08:07:35,832: -SUB [/occupancy_image] /train_1170_1604822855699 http://luigi:40453/
