[rosmaster.main][INFO] 2020-10-05 03:43:25,624: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-10-05 03:43:25,624: Starting ROS Master Node
[xmlrpc][INFO] 2020-10-05 03:43:25,626: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-10-05 03:43:25,626: Started XML-RPC server [http://luigi:11311/]
[rosmaster.master][INFO] 2020-10-05 03:43:25,626: Master initialized: port[11311], uri[http://luigi:11311/]
[xmlrpc][INFO] 2020-10-05 03:43:25,626: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-10-05 03:43:25,723: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-10-05 03:43:25,724: +PARAM [/roslaunch/uris/host_luigi__44359] by /roslaunch
[rosmaster.master][INFO] 2020-10-05 03:43:25,784: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-10-05 03:43:25,785: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-10-05 03:43:25,805: +SERVICE [/rosout/get_loggers] /rosout http://luigi:40603/
[rosmaster.master][INFO] 2020-10-05 03:43:25,806: +SERVICE [/rosout/set_logger_level] /rosout http://luigi:40603/
[rosmaster.master][INFO] 2020-10-05 03:43:25,808: +PUB [/rosout_agg] /rosout http://luigi:40603/
[rosmaster.master][INFO] 2020-10-05 03:43:25,811: +SUB [/rosout] /rosout http://luigi:40603/
[rosmaster.master][INFO] 2020-10-05 03:43:37,524: -PUB [/rosout_agg] /rosout http://luigi:40603/
[rosmaster.master][INFO] 2020-10-05 03:43:37,525: -SUB [/rosout] /rosout http://luigi:40603/
[rosmaster.master][INFO] 2020-10-05 03:43:37,526: -SERVICE [/rosout/get_loggers] /rosout rosrpc://luigi:57795
[rosmaster.master][INFO] 2020-10-05 03:43:37,527: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://luigi:57795
[rosmaster.main][INFO] 2020-10-05 03:43:37,615: keyboard interrupt, will exit
[rosmaster.main][INFO] 2020-10-05 03:43:37,615: stopping master...
[rospy.core][INFO] 2020-10-05 03:43:37,615: signal_shutdown [atexit]
